"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/12/2024";"0000";"24,2";"25,0";"24,1";"87,0";"87,0";"86,0";"22,0";"22,6";"21,8";"1013,5";"1013,5";"1012,9";"1,4";"276,0";"3,1";"3,20";"0,0"
"01/12/2024";"0100";"24,1";"24,2";"23,9";"88,0";"88,0";"87,0";"22,0";"22,0";"21,7";"1013,7";"1013,8";"1013,5";"1,1";"303,0";"3,1";"4,40";"0,0"
"01/12/2024";"0200";"24,3";"24,3";"23,9";"88,0";"88,0";"87,0";"22,2";"22,2";"21,7";"1013,3";"1013,7";"1013,3";"1,1";"258,0";"2,8";"4,30";"0,0"
"01/12/2024";"0300";"24,1";"24,4";"24,1";"88,0";"88,0";"88,0";"22,0";"22,3";"22,0";"1012,8";"1013,3";"1012,8";"2,1";"266,0";"3,9";"3,20";"0,0"
"01/12/2024";"0400";"24,2";"24,3";"24,0";"88,0";"89,0";"88,0";"22,2";"22,3";"21,9";"1012,5";"1012,8";"1012,5";"1,7";"246,0";"4,0";"3,90";"0,0"
"01/12/2024";"0500";"24,1";"24,4";"24,0";"88,0";"89,0";"88,0";"22,0";"22,4";"21,9";"1012,2";"1012,5";"1012,2";"1,3";"265,0";"3,8";"3,70";"0,0"
"01/12/2024";"0600";"23,9";"24,2";"23,9";"89,0";"89,0";"88,0";"22,0";"22,2";"22,0";"1012,1";"1012,2";"1012,0";"2,8";"247,0";"4,3";"5,20";"0,0"
"01/12/2024";"0700";"23,4";"23,9";"23,4";"90,0";"90,0";"89,0";"21,7";"22,1";"21,7";"1012,3";"1012,3";"1012,0";"2,7";"257,0";"4,9";"3,00";"0,0"
"01/12/2024";"0800";"22,9";"23,6";"22,9";"91,0";"91,0";"90,0";"21,3";"21,9";"21,2";"1012,6";"1012,6";"1012,3";"1,2";"263,0";"4,8";"4,30";"0,0"
"01/12/2024";"0900";"23,1";"23,1";"22,8";"91,0";"91,0";"91,0";"21,6";"21,6";"21,2";"1013,6";"1013,7";"1012,6";"2,1";"273,0";"4,4";"52,90";"0,0"
"01/12/2024";"1000";"23,8";"23,8";"23,1";"91,0";"91,0";"91,0";"22,2";"22,3";"21,5";"1014,1";"1014,1";"1013,6";"1,2";"216,0";"4,4";"244,60";"0,0"
"01/12/2024";"1100";"25,4";"25,4";"23,4";"89,0";"91,0";"89,0";"23,4";"23,4";"21,8";"1014,2";"1014,3";"1014,1";"1,8";"118,0";"3,3";"826,40";"0,0"
"01/12/2024";"1200";"26,7";"27,0";"25,4";"81,0";"89,0";"81,0";"23,2";"24,6";"22,6";"1014,3";"1014,3";"1014,1";"3,6";"145,0";"5,9";"2067,30";"0,0"
"01/12/2024";"1300";"27,4";"27,4";"26,0";"78,0";"82,0";"78,0";"23,2";"23,6";"22,3";"1014,1";"1014,3";"1014,1";"2,4";"61,0";"6,5";"2521,50";"0,0"
"01/12/2024";"1400";"28,2";"28,8";"26,7";"74,0";"79,0";"74,0";"23,1";"24,0";"22,6";"1013,9";"1014,1";"1013,9";"4,0";"68,0";"5,2";"2801,10";"0,0"
"01/12/2024";"1500";"28,6";"29,1";"27,6";"72,0";"74,0";"71,0";"22,9";"23,8";"22,2";"1013,4";"1013,9";"1013,4";"4,7";"75,0";"6,0";"3593,40";"0,0"
"01/12/2024";"1600";"28,6";"29,1";"28,6";"69,0";"72,0";"69,0";"22,3";"23,1";"22,3";"1012,7";"1013,4";"1012,7";"5,2";"75,0";"7,3";"3845,70";"0,0"
"01/12/2024";"1700";"27,6";"29,1";"27,5";"69,0";"70,0";"67,0";"21,4";"22,8";"21,1";"1012,1";"1012,8";"1012,1";"4,0";"111,0";"6,7";"3174,00";"0,0"
"01/12/2024";"1800";"26,1";"28,6";"26,1";"72,0";"72,0";"67,0";"20,6";"22,4";"20,6";"1011,8";"1012,1";"1011,8";"5,5";"107,0";"7,7";"2565,20";"0,0"
"01/12/2024";"1900";"26,2";"26,7";"25,8";"74,0";"75,0";"72,0";"21,1";"21,5";"20,6";"1011,3";"1011,8";"1011,3";"5,5";"107,0";"8,5";"1665,80";"0,0"
"01/12/2024";"2000";"25,5";"26,2";"25,3";"77,0";"78,0";"74,0";"21,2";"21,4";"20,8";"1011,3";"1011,3";"1011,1";"5,0";"94,0";"8,4";"1131,70";"0,0"
"01/12/2024";"2100";"24,4";"25,6";"24,4";"80,0";"80,0";"77,0";"20,6";"21,3";"20,6";"1011,7";"1011,7";"1011,3";"4,0";"73,0";"8,0";"486,70";"0,0"
"01/12/2024";"2200";"23,5";"24,4";"23,5";"85,0";"85,0";"80,0";"20,8";"20,8";"20,6";"1012,2";"1012,3";"1011,7";"4,6";"84,0";"5,6";"36,00";"0,0"
"01/12/2024";"2300";"23,8";"23,8";"23,3";"86,0";"86,0";"85,0";"21,3";"21,3";"20,8";"1012,1";"1012,3";"1012,0";"5,3";"70,0";"7,4";"3,20";"0,0"
"02/12/2024";"0000";"23,9";"24,0";"23,8";"85,0";"86,0";"85,0";"21,2";"21,5";"21,1";"1011,9";"1012,2";"1011,9";"6,7";"59,0";"9,5";"2,50";"0,0"
