"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/12/2024";"0000";"22,8";"22,9";"22,7";"84,0";"85,0";"84,0";"20,0";"20,2";"19,9";"1014,8";"1014,8";"1014,5";"1,8";"164,0";"4,8";"";"0,0"
"01/12/2024";"0100";"22,5";"22,9";"22,5";"85,0";"85,0";"84,0";"19,8";"20,1";"19,8";"1015,4";"1015,4";"1014,7";"1,3";"168,0";"5,4";"";"0,0"
"01/12/2024";"0200";"22,5";"22,5";"22,4";"82,0";"85,0";"82,0";"19,3";"19,8";"19,3";"1015,3";"1015,6";"1015,3";"1,9";"159,0";"4,7";"";"0,0"
"01/12/2024";"0300";"22,6";"22,6";"22,4";"83,0";"83,0";"81,0";"19,5";"19,5";"18,9";"1014,9";"1015,3";"1014,9";"1,2";"145,0";"4,1";"";"0,0"
"01/12/2024";"0400";"22,5";"22,6";"22,4";"81,0";"83,0";"81,0";"19,1";"19,6";"19,1";"1014,5";"1014,9";"1014,5";"1,0";"138,0";"3,1";"";"0,0"
"01/12/2024";"0500";"22,2";"22,5";"22,1";"81,0";"81,0";"80,0";"18,6";"19,1";"18,6";"1014,0";"1014,5";"1013,9";"0,3";"122,0";"2,7";"";"0,0"
"01/12/2024";"0600";"22,4";"22,4";"22,1";"80,0";"81,0";"80,0";"18,7";"18,7";"18,6";"1013,8";"1014,0";"1013,7";"0,8";"129,0";"2,4";"";"0,0"
"01/12/2024";"0700";"22,4";"22,4";"22,4";"79,0";"80,0";"78,0";"18,6";"18,7";"18,5";"1013,6";"1013,8";"1013,6";"0,7";"120,0";"2,4";"";"0,0"
"01/12/2024";"0800";"22,0";"22,4";"22,0";"81,0";"81,0";"79,0";"18,5";"18,7";"18,5";"1013,6";"1013,7";"1013,5";"0,2";"107,0";"2,2";"";"0,0"
"01/12/2024";"0900";"22,1";"22,1";"21,8";"86,0";"86,0";"81,0";"19,6";"19,6";"18,6";"1014,0";"1014,0";"1013,6";"0,5";"246,0";"1,2";"42,70";"0,0"
