"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/12/2024";"0000";"29,2";"30,2";"29,2";"70,0";"70,0";"61,0";"23,1";"23,2";"22,0";"1008,7";"1008,7";"1008,0";"2,7";"56,0";"6,8";"";"0,0"
"01/12/2024";"0100";"28,5";"29,3";"28,5";"74,0";"74,0";"69,0";"23,5";"23,5";"22,9";"1009,4";"1009,4";"1008,7";"3,2";"50,0";"7,7";"";"0,0"
"01/12/2024";"0200";"28,0";"28,5";"28,0";"76,0";"76,0";"74,0";"23,4";"23,5";"23,3";"1009,7";"1009,7";"1009,4";"2,4";"41,0";"6,6";"";"0,0"
"01/12/2024";"0300";"27,6";"28,0";"27,6";"79,0";"79,0";"76,0";"23,6";"23,6";"23,4";"1009,9";"1009,9";"1009,6";"1,9";"44,0";"6,2";"";"0,0"
"01/12/2024";"0400";"27,1";"27,6";"27,1";"81,0";"81,0";"79,0";"23,6";"23,6";"23,6";"1009,1";"1009,9";"1009,1";"1,1";"32,0";"5,2";"";"0,0"
"01/12/2024";"0500";"26,9";"27,1";"26,9";"82,0";"82,0";"81,0";"23,7";"23,7";"23,5";"1008,2";"1009,1";"1008,2";"1,5";"25,0";"4,7";"";"0,0"
"01/12/2024";"0600";"26,5";"26,9";"26,5";"84,0";"84,0";"82,0";"23,7";"23,7";"23,6";"1007,8";"1008,2";"1007,8";"1,0";"21,0";"4,7";"";"0,0"
"01/12/2024";"0700";"26,4";"26,5";"26,4";"85,0";"85,0";"84,0";"23,7";"23,8";"23,6";"1008,0";"1008,0";"1007,8";"0,9";"16,0";"3,0";"";"0,0"
"01/12/2024";"0800";"26,4";"26,4";"26,3";"86,0";"86,0";"86,0";"23,8";"23,8";"23,7";"1008,4";"1008,5";"1008,0";"0,9";"14,0";"3,1";"";"0,0"
"01/12/2024";"0900";"26,1";"26,4";"26,1";"87,0";"87,0";"86,0";"23,7";"23,8";"23,7";"1008,5";"1008,5";"1008,4";"0,7";"20,0";"3,1";"";"0,0"
"01/12/2024";"1000";"26,4";"26,4";"26,0";"86,0";"88,0";"86,0";"23,9";"24,0";"23,7";"1009,2";"1009,2";"1008,5";"1,2";"17,0";"3,9";"67,80";"0,0"
"01/12/2024";"1100";"27,2";"27,2";"26,3";"81,0";"86,0";"80,0";"23,7";"23,9";"22,7";"1010,6";"1010,6";"1009,2";"3,3";"60,0";"8,0";"351,00";"0,0"
